product_type,web-scraper-order,web-scraper-start-url,productname_raw,price_raw,weight_raw
butter,1698754764-1,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,Die Butter,3.95,250 g
butter,1698754764-2,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,RETOUR AUX SOURCES BIO Butter,4.19,200 g
butter,1698754764-3,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,"BIO NATURA Butter 100 g, laktosefrei",2.95,100 g
butter,1698754764-4,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,MILFINA Kochbutter,3.49,250 g
butter,1698754764-5,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,MILFINA Kräuterbutter,2.85,100 g
butter,1698754764-6,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,MILFINA Vorzugsbutter,3.45,200 g
butter,1698754764-7,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,FLORALP Vorzugsbutter,3.59,200 g
butter,1698754764-8,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,ZÜGER Bura Rapsölbutter,3.89,225 g
butter,1698754764-9,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,"ZÜGER Bura Rapsölbutter, gesalzen",3.89,225 g
butter,1698754764-10,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,LE CHEF Gesalzene Butter mit Alpensalz,2.95,100 g
butter,1698754764-11,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,MILFINA Vorzugsbutter,3.99,200 g
butter,1698754764-12,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,RAMA Universelle Margarine,2.39,225 g
butter,1698754764-13,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,BELLASAN Margarine mit Sonnenblumenöl,2.39,500 g
butter,1698754764-14,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,BELLASAN Cholesterinsenkende Halbfett-Margarine,2.29,250 g
butter,1698754764-15,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,"BELLASAN Margarine mit Butter, gesalzen",2.65,250 g
butter,1698754764-16,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,"BELLASAN Margarine mit Butter, normal",2.65,250 g
butter,1698740581-1,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Rama Sooo BUTTRIG! Mödeli,2.75,250g
butter,1698740581-2,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Butter gesalzen,2.8,100g
butter,1698740581-3,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Fine Food Bio Butter mit Fleur de Sel de Guérande,3.55,100g
butter,1698740581-4,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Kräuterbutter-Rolle,2.85,100g
butter,1698740581-5,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Brunos Kräuterbutter,4.95,75g
butter,1698740581-6,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Hirz Kräuterbutter 4x15g,2.35,60g
butter,1698740581-7,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Karma The Vegan Pflanzliche Alternative zu Butter,4.95,250g
butter,1698740581-8,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Kräuterbutter,3.95,40g
butter,1698740581-9,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Hirz Café de Paris 4x15g,2.5,60g
butter,1698740581-10,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Café de Paris Mousse 6x10g,4.2,60g
butter,1698740581-11,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Kräuterbutter 6x10g,4.6,60g
butter,1698740581-12,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Kräuterbutter Whisky 4x10g,3.95,40g
butter,1698740581-13,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Ghee geklärte Butter,10.75,180g
butter,1698740581-14,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Sais Astra Speisefett mit 10% Butter,7.95,450g
butter,1698740581-16,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Zibu Zigerbutter,2.8,80g
butter,1698740581-17,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Kochbutter,4.65,220g
butter,1698740581-18,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Die Bratbutter Gourmet,10.95,450g
butter,1698740581-19,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Hipp Riegel Elefant Butterkeks 12+ Monate 2x  20g,2.2,40g
butter,1698740581-20,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Prix Garantie Kochbutter,3.7,250g
butter,1698740581-21,https://www.coop.ch/de/search?page=2&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Frischback Silser Buttergipfel,3.2,200g
butter,1698740584-24,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Rama Sooo BUTTRIG!,2.95,225g
butter,1698740584-25,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Flora 100% pflanzlich,3.1,250g
butter,1698740584-26,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Rama Sooo BUTTRIG!,4.5,400g
butter,1698740584-27,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Floralp Vorzugsbutter,3.6,200g
butter,1698740584-28,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Butter,4.4,200g
butter,1698740584-29,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Floralp Vorzugsbutter,4.55,200g
butter,1698740584-30,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Butter,4.8,200g
butter,1698740584-31,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Prix Garantie Vorzugsbutter Mödeli,3.45,200g
butter,1698740584-32,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Pro Montagna Vorzugsbutter,3.7,150g
butter,1698740584-33,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Floralp Vorzugsbutter,2.15,100g
butter,1698740584-34,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Butter Portion 4x15g,2.1,60g
butter,1698740584-35,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Floralp Vorzugsbutter,2.4,100g
butter,1698740584-36,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Joghurt-Butter,4.85,200g
butter,1698740584-37,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Free From Vorzugsbutter lactosefrei,5.15,200g
butter,1698740584-38,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Regio Butter Romandie,4.7,200g
butter,1698740584-39,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Halbfettbutter -50% Fett,3.45,200g
butter,1698740584-40,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Emmi Butter mit Rapsöl,4.25,200g
butter,1698740584-41,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Butter,2.6,100g
butter,1698740584-42,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Free From Bio Vorzugsbutter,2.95,100g
butter,1698740584-43,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Prix Garantie Soft Butter mit Rapsöl,3.5,200g
butter,1698740584-44,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturli Bio streichzarter Block,4.1,200g
butter,1698740584-45,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Milco Beurre de Tradition,4.3,150g
butter,1698740584-46,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,EchtEntlebuch Heumilchbutter,3.45,150g
butter,1698740584-47,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Emmi good day Buttermousse,4.95,130g
butter,1698740584-48,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Cremo Butter streichbar,4.7,200g
butter,1698740584-49,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Beurre du Pays Butter,4.15,200g
butter,1698740584-50,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Die Butter Mödeli,3.95,250g
butter,1698740584-51,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Butter Mödeli,3.8,250g
butter,1698740584-52,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Die Butter Kochbutter,4.45,250g
butter,1698740584-53,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Becel Classic,2.7,225g
butter,1698740582-1,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Die Butter,3.95,250g
butter,1698740582-2,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Butter,3.5,200g
butter,1698740582-3,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Die Butter,4.45,250g
butter,1698740582-4,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Butter,2.5,100g
butter,1698740582-5,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Butter,4.8,200g
butter,1698740582-6,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Butter,2.1,60g
butter,1698740582-7,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Butter,2.6,100g
butter,1698740582-8,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Streichfähige Butter,4.55,200g
butter,1698740582-9,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Die Butter,7.5,500g
butter,1698740582-10,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Bio Butter,4.7,200g
butter,1698740582-11,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Die Butter Schale,8.4,500g
butter,1698740582-12,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Café de Paris Butter,2.95,100g
butter,1698740582-13,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Gesalzene Butter,2.25,100g
butter,1698740582-14,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Butter Tradition,4.0,150g
butter,1698740582-16,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Joel Wicki Butter Modeli,3.45,150g
butter,1698740582-17,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Anna's Best Chipotle-Butter,4.9,60g
butter,1698740582-18,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kochbutter,3.45,250g
butter,1698740582-19,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Wiesenrahm Butter IP-SUISSE,3.95,200g
butter,1698740582-20,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Butter Le Marechal pasteurisiert,3.55,150g
butter,1698740582-21,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kochbutter,3.8,250g
butter,1698740582-22,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,3.6,200g
butter,1698740582-23,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,4.55,200g
butter,1698740582-24,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,4.4,200g
butter,1698740582-25,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Halbfettbutter,3.45,200g
butter,1698740582-26,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Joghurtbutter,4.85,200g
butter,1698740582-27,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Zigerbutter,2.8,80g
butter,1698740582-28,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,1.95,100g
butter,1698740582-29,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,4.2,200g
butter,1698740582-31,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Alpbutter,4.8,250g
butter,1698740582-32,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kochbutter,14.6,1000g
butter,1698740582-33,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Whiskybutter,3.75,80g
butter,1698740582-34,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,1.9,60g
butter,1698740582-35,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Migros Bio Kochbutter,4.65,220g
butter,1698740582-36,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Käsereibutter,3.7,200g
butter,1698740582-38,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kräuterbutter,4.7,70g
butter,1698740582-39,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Trüffelbutter,5.9,80g
butter,1698740582-40,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,2.75,150g
butter,1698740582-41,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kräuterbutter,3.75,80g
butter,1698740582-42,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kräuterbutter,3.95,100g
butter,1698740582-43,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kräuterbutter,5.0,120g
butter,1698740582-45,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Berg Vorzugsbutter,3.45,150g
butter,1698740582-46,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Berg Vorzugsbutter,3.15,150g
butter,1698740582-47,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Berg Vorzugsbutter,2.95,150g
butter,1698740582-48,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Berg Vorzugsbutter,3.7,150g
butter,1698740582-49,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Berg Vorzugsbutter,3.2,150g
butter,1698740582-50,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Napfgoldbutter,2.1,100g
butter,1698740582-51,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kräuterbutter Roset,3.4,40g
butter,1698740582-53,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter IP-SUISSE,4.1,200g
butter,1698740582-55,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kräuterbutter Diavolo,3.9,100g
butter,1698740582-56,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Züribieter Butterschaf,5.2,200g
butter,1698740582-57,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Valflora Vorzugsbutter,3.45,200g
butter,1698740582-58,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Berg Vorzugsbutter gesalzen,3.7,150g
butter,1698740582-59,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Floralp Vorzugsbutter Schale,2.4,100g
butter,1698740582-60,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Züribieter Molkereibutter,3.9,200g
butter,1698740582-61,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Margarine,2.9,250g
butter,1698740582-62,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Margarine,5.5,500g
butter,1698740582-63,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Anna's Best Laugenbrezel mit Butter,2.95,120g
butter,1698740582-64,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Anna's Best Kürbis Butter Nut gekocht,3.3,400g
